LEA_Code,School_Code,Ward,STAR_Score,STAR_Rating,TOTAL_STUD,has_expanded_data,School_Type_Charter,School_Type_Charter (Alternative),School_Type_DCPS,School_Type_DCPS (Alternative),GRADES_1st-5th,GRADES_6th-12th,GRADES_6th-7th,GRADES_6th-8th,GRADES_7th-12th,GRADES_9th-11th,GRADES_9th-12th,GRADES_PK3-5th,GRADES_PK3-8th,GRADES_PK4-3rd,GRADES_PK4-5th,ZIPCODE_20001.0,ZIPCODE_20002.0,ZIPCODE_20003.0,ZIPCODE_20005.0,ZIPCODE_20007.0,ZIPCODE_20008.0,ZIPCODE_20009.0,ZIPCODE_20010.0,ZIPCODE_20011.0,ZIPCODE_20012.0,ZIPCODE_20015.0,ZIPCODE_20016.0,ZIPCODE_20017.0,ZIPCODE_20018.0,ZIPCODE_20019.0,ZIPCODE_20020.0,ZIPCODE_20024.0,ZIPCODE_20032.0,ZIPCODE_20037.0,FACUSE_Education Campus,FACUSE_Elementary School,FACUSE_Elementary School/Specialized,FACUSE_High School,FACUSE_High School/Specialized,FACUSE_Middle School,FACUSE_Middle School/High School,FACUSE_Youth Engagement,LEVEL__EC,LEVEL__ES,LEVEL__HS,LEVEL__MS,LEVEL__STAY,LEVEL__YE,LEA_Name_Achievement Preparatory Academy PCS,LEA_Name_Basis DC PCS,LEA_Name_Bridges PCS,LEA_Name_Capital City PCS,LEA_Name_Center City PCS,LEA_Name_Cesar Chavez PCS for Public Policy,LEA_Name_City Arts & Prep PCS,LEA_Name_Creative Minds International PCS,LEA_Name_DC Bilingual PCS,LEA_Name_DC Prep PCS,LEA_Name_DC Scholars PCS,LEA_Name_Democracy Prep Congress Heights PCS,LEA_Name_District of Columbia International School,LEA_Name_District of Columbia Public Schools,LEA_Name_E.L. Haynes PCS,LEA_Name_Eagle Academy PCS,LEA_Name_Early Childhood Academy PCS,LEA_Name_Elsie Whitlow Stokes Community Freedom PCS,LEA_Name_Excel Academy PCS,LEA_Name_Friendship PCS,LEA_Name_Harmony DC PCS,LEA_Name_Hope Community PCS,LEA_Name_Howard University Middle School of Mathematics and Science PCS,LEA_Name_IDEA PCS,LEA_Name_Ideal Academy PCS,LEA_Name_Ingenuity Prep PCS,LEA_Name_Inspired Teaching Demonstration PCS,LEA_Name_KIPP DC PCS,LEA_Name_Kingsman Academy PCS,LEA_Name_Latin American Montessori Bilingual PCS,LEA_Name_Lee Montessori PCS,LEA_Name_Mary McLeod Bethune Day Academy PCS,LEA_Name_Maya Angelou PCS,LEA_Name_Meridian PCS,LEA_Name_Monument Academy PCS,LEA_Name_Mundo Verde Bilingual PCS,LEA_Name_National Collegiate Preparatory PCHS,LEA_Name_Paul PCS,LEA_Name_Perry Street Preparatory PCS,LEA_Name_Richard Wright PCS for Journalism and Media Arts,LEA_Name_Rocketship DC PCS,LEA_Name_Roots PCS,"LEA_Name_SEED PCS of Washington, DC",LEA_Name_Sela PCS,LEA_Name_Shining Stars Montessori Academy PCS,LEA_Name_Somerset Preparatory Academy PCS,LEA_Name_The Children's Guild DC PCS,LEA_Name_Thurgood Marshall Academy PCS,LEA_Name_Two Rivers PCS,LEA_Name_Washington Global PCS,LEA_Name_Washington Latin PCS,LEA_Name_Washington Leadership Academy PCS,LEA_Name_Washington Mathematics Science Technology PCHS,LEA_Name_Washington Yu Ying PCS
1,175,6,88.55,5,84.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,202,7,43.85,3,269.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,203,6,36.53,2,254.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,204,1,76.34,4,463.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,205,4,66.46,4,482.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,206,7,35.32,2,386.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,212,6,65.64,4,347.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,213,4,59.87,3,549.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,219,5,49.18,3,304.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,220,5,58.66,3,296.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
